time,pitch,roll,heading,aileronInput,elevatorInput,Baro_altitude,Baro_vertical_speed,Baro_temperature,GPS_locked,GPS_coord_x,GPS_coord_y,GPS_altitude,GPS_heading,GPS_speed,GPS_satellites,aileronTrim,elevatorTrim
30.852,4.81,137.5,194.31,-1.0,0.0,16.43,0.06,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
31.052,4.81,137.5,194.31,-1.0,0.0,16.39,0.02,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
31.252,4.81,137.5,194.31,-1.0,0.0,16.43,0.05,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
31.452,4.81,137.5,194.31,-1.0,0.0,16.41,0.02,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
31.652,4.81,137.5,194.31,-1.0,0.0,16.42,0.03,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
31.852,4.81,137.5,194.31,-1.0,0.0,16.39,-0.0,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
32.052,4.81,137.5,194.31,-1.0,0.0,16.43,0.03,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
32.252,4.81,137.5,194.31,-1.0,0.0,16.42,0.01,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
32.452,4.81,137.5,194.31,-1.0,0.0,16.42,0.02,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
32.652,4.81,137.5,194.31,-1.0,0.0,16.39,-0.02,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
32.852,4.81,137.5,194.31,-1.0,0.0,16.47,0.06,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
33.052,4.81,137.5,194.31,-1.0,0.0,16.43,0.02,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
33.252,4.81,137.5,194.31,-1.0,0.0,16.38,-0.04,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
33.452,4.81,137.5,194.31,-1.0,0.0,16.34,-0.07,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
33.652,4.81,137.5,194.31,-1.0,0.0,16.36,-0.04,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
33.852,4.81,137.5,194.31,-1.0,0.0,16.4,0.01,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
34.052,4.81,137.5,194.31,-1.0,0.0,16.38,-0.01,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
34.252,4.81,137.5,194.31,-1.0,0.0,16.33,-0.06,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
34.452,4.81,137.5,194.31,-1.0,0.0,16.34,-0.04,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
